,206598_at,204686_at,207851_s_at,213792_s_at,209184_s_at,209185_s_at,209409_at,209410_s_at,210999_s_at,215248_at
206598_at,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
204686_at,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0
207851_s_at,,1.0,,,1.0,1.0,,,,
213792_s_at,,1.0,,,1.0,1.0,,,,
209184_s_at,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0
209185_s_at,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0
209409_at,1.0,1.0,2.0,2.0,1.0,1.0,,,,
209410_s_at,1.0,1.0,2.0,2.0,1.0,1.0,,,,
210999_s_at,1.0,1.0,2.0,2.0,1.0,1.0,,,,
215248_at,1.0,1.0,2.0,2.0,1.0,1.0,,,,
