,206219_s_at,209962_at,209963_s_at,215054_at,216999_at,37986_at,396_f_at,204009_s_at,204010_s_at,214352_s_at,204543_at,202647_s_at,215075_s_at,207257_at,217254_s_at,201469_s_at,214853_s_at,206184_at,212180_at,205841_at,205842_s_at,212777_at,212780_at,212983_at,209184_s_at,209185_s_at,202625_at,202626_s_at,210754_s_at
206219_s_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,,,1.0,,,2.0,2.0,2.0
209962_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
209963_s_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
215054_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
216999_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
37986_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
396_f_at,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
204009_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204010_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214352_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204543_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
202647_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215075_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
207257_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,2.0,,,,,1.0,,,,,
217254_s_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,2.0,,,,,1.0,,,,,
201469_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0
214853_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0
206184_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,
212180_at,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,
205841_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
205842_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
212777_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0
212780_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0
212983_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209184_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,,,1.0,,,2.0,2.0,2.0
209185_s_at,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,2.0,,,,,1.0,,,2.0,2.0,2.0
202625_at,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,
202626_s_at,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,
210754_s_at,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,
